Newcastle,newcastle
Brighton,brighton
Bournemouth,b-mouth
Chelsea,chelsea
West Ham,west-ham
West Brom,wba
Man United,man-utd
Tottenham,spurs
Huddersfield,hudd-town
Watford,watford
Crystal Palace,cpalace
Arsenal,arsenal
Everton,everton
Stoke,stoke
Southampton,s-hampton
Liverpool,liverpool
Leicester,leicester
Burnley,burnley
Swansea,swansea
Man City,man-city
Leganes,legans
Valencia,valencia
Celta,celta
Girona,girona
Sevilla,sevilla
Ath Bilbao,athletic
Barcelona,barcelona
La Coruna,deportivo
Levante,levante
Malaga,mlaga
Betis,betis
Sociedad,sociedad
Alaves,alavs
Las Palmas,las-palmas
Eibar,eibar
Espanol,espanyol
Getafe,getafe
Real Madrid,r-madrid
Ath Madrid,atltico
Villarreal,villarreal
Leverkusen,leverkusen
Augsburg,augsburg
Stuttgart,stuttgart
Werder Bremen,werder
Hannover,hannover
RB Leipzig,rb-leipzig
Dortmund,dortmund
Ein Frankfurt,frankfurt
FC Koln,fc-kln
Hamburg,hamburg
M'gladbach,m-gladbach
Hertha,hertha-bsc
Wolfsburg,wolfsburg
Hoffenheim,hoffenheim
Mainz,mainz
Bayern Munich,bayern
Schalke 04,schalke
Freiburg,freiburg
Cagliari,cagliari
Napoli,napoli
Roma,roma
Torino,torino
Milan,milan
Fiorentina,fiorentina
Spal,spal
Benevento,benevento
Genoa,genoa
Chievo,chievo
Bologna,bologna
Juventus,juventus
Inter,inter
Lazio,lazio
Verona,verona
Sampdoria,sampdoria
Atalanta,atalanta
Udinese,udinese
Sassuolo,sassuolo
Crotone,crotone
Toulouse,toulouse
Strasbourg,strasbourg
Guingamp,guingamp
Caen,caen
Amiens,amiens
Nice,nice
Rennes,rennes
Bordeaux,bordeaux
Nantes,nantes
Dijon,dijon
Troyes,troyes
Lyon,lyon
Angers,angers
Metz,metz
St Etienne,st-etienne
Marseille,marseille
Montpellier,montpellier
Monaco,monaco
Paris SG,psg
Lille,lille
Millwall,millwall
Derby,derby
Hull,hull-city
Barnsley,barnsley
Cardiff,cardiff
Norwich,norwich
Birmingham,b-ham-city
Sheffield Weds,sheff-w-day
Reading,reading
Brentford,brentford
Middlesbrough,m-brough
Leeds,leeds
Ipswich,ipswich
Bristol City,bristol
Nott'm Forest,forest
Aston Villa,avilla
Wolves,wolves
Burton,burton-albion
Preston,preston-north-end
Sheffield United,sheffield-united
Bolton,bolton
Fulham,fulham
QPR,qpr
Sunderland,sunderland